City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Biskupiec,PL,53.8647,20.9569,42.62,95,90,8.63,overcast clouds
80,Copiapo,CL,-27.3667,-70.3333,51.49,55,0,1.59,clear sky
81,Hilo,US,19.7297,-155.09,78.28,91,90,9.22,light rain
82,Broome,US,42.2506,-75.833,49.89,70,90,1.01,overcast clouds
83,Tuatapere,NZ,-46.1333,167.6833,55.04,65,71,8.43,broken clouds
84,Matara,LK,5.9485,80.5353,78.33,88,99,15.39,overcast clouds
85,Istmina,CO,5.1605,-76.684,73.58,98,96,1.54,overcast clouds
86,Beringovskiy,RU,63.05,179.3167,28.67,86,100,8.21,overcast clouds
87,Wynyard,AU,-41.0,145.7167,62.98,49,100,9.42,overcast clouds
88,Severo-Kurilsk,RU,50.6789,156.125,41.07,84,77,44.02,broken clouds
89,Richards Bay,ZA,-28.783,32.0377,59.77,84,100,14.7,moderate rain
90,Bairiki,KI,1.3292,172.9752,86.0,70,20,8.05,few clouds
91,Sinnamary,GF,5.3833,-52.95,79.11,87,62,7.96,broken clouds
92,Kyabe,TD,9.4515,18.9449,73.71,89,99,2.64,overcast clouds
93,Keflavik,IS,64.0049,-22.5624,45.03,93,90,24.16,heavy intensity rain
94,Altona,DE,53.55,9.9333,50.63,85,75,4.61,broken clouds
95,Katangli,RU,51.7102,143.2326,32.22,78,100,16.58,light snow
96,Hobart,AU,-42.8794,147.3294,64.02,68,75,1.01,broken clouds
97,Ushuaia,AR,-54.8,-68.3,47.86,66,20,11.5,few clouds
98,Mount Isa,AU,-20.7333,139.5,96.57,11,35,11.5,scattered clouds
99,Geraldton,AU,-28.7667,114.6,73.81,40,0,12.66,clear sky
100,Ahipara,NZ,-35.1667,173.1667,64.58,68,1,7.61,clear sky
101,Sterling,US,39.0062,-77.4286,54.39,78,40,3.0,scattered clouds
102,Moroni,KM,-11.7022,43.2551,75.31,78,8,7.16,clear sky
103,Kitimat,CA,54.0524,-128.6534,41.38,31,23,3.06,few clouds
104,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,73.49,94,42,2.59,scattered clouds
105,Kaitangata,NZ,-46.2817,169.8464,59.94,54,83,6.51,broken clouds
106,Axim,GH,4.8699,-2.2405,77.59,85,85,6.02,light rain
107,Lencois Paulista,BR,-22.5986,-48.8003,65.37,94,50,8.39,scattered clouds
108,Barcea,RO,45.75,27.4667,46.62,82,15,2.42,few clouds
109,Airai,TL,-8.9266,125.4092,79.79,45,33,1.01,scattered clouds
110,Fare,PF,-16.7,-151.0167,80.35,78,6,17.65,light rain
111,Leningradskiy,RU,69.3833,178.4167,12.94,95,100,0.45,overcast clouds
112,Mapiripan,CO,2.8892,-72.1256,70.7,95,100,1.59,overcast clouds
113,Russell,US,32.3502,-85.1999,54.63,92,1,0.0,clear sky
114,Esperance,AU,-33.8667,121.9,69.42,64,0,10.47,clear sky
115,Cartagena,CO,10.3997,-75.5144,83.82,79,40,4.61,scattered clouds
116,Lompoc,US,34.6391,-120.4579,61.11,80,1,3.44,clear sky
117,Vanimo,PG,-2.6741,141.3028,88.74,61,22,9.28,few clouds
118,Jamestown,US,42.097,-79.2353,53.51,90,90,5.99,overcast clouds
119,Providencia,MX,28.7167,-111.5833,78.85,42,100,6.78,overcast clouds
120,Sena Madureira,BR,-9.0656,-68.6569,72.43,86,69,1.97,broken clouds
121,Maua,BR,-23.6678,-46.4614,65.1,73,100,4.92,overcast clouds
122,Marietta,US,33.9526,-84.5499,56.3,74,1,3.44,clear sky
123,Navalmoral De La Mata,ES,39.8916,-5.5406,63.95,93,97,1.97,overcast clouds
124,Kailua,US,21.4022,-157.7394,82.38,70,20,12.66,light rain
125,Fukue,JP,32.6881,128.8419,68.36,60,75,8.05,broken clouds
126,Hithadhoo,MV,-0.6,73.0833,81.91,76,88,11.1,overcast clouds
127,Vredendal,ZA,-31.6683,18.5012,53.01,58,0,5.75,clear sky
128,Hastings,GB,50.8552,0.5729,59.52,88,100,10.87,overcast clouds
129,Abu Dhabi,AE,24.4667,54.3667,78.91,73,0,2.3,clear sky
130,Cabedelo,BR,-6.9811,-34.8339,77.67,82,68,9.35,broken clouds
131,Ous,RU,60.9058,61.5186,40.23,80,100,10.63,overcast clouds
132,Qaanaaq,GL,77.484,-69.3632,23.58,70,100,12.06,overcast clouds
133,Guerrero Negro,MX,27.9769,-114.0611,68.86,74,100,12.68,overcast clouds
134,Ambilobe,MG,-13.2,49.05,73.65,69,3,5.41,clear sky
135,Manta,EC,-0.95,-80.7333,71.38,88,40,8.05,scattered clouds
136,Ramygala,LT,55.5167,24.3,44.82,91,67,6.35,broken clouds
137,Lufilufi,WS,-13.8745,-171.5986,81.86,79,27,18.68,light rain
138,Sitka,US,57.0531,-135.33,46.29,49,90,12.66,overcast clouds
139,Ancud,CL,-41.8697,-73.8203,48.42,85,59,2.64,broken clouds
140,Sergeyevka,KZ,53.88,67.4158,42.24,75,33,7.23,scattered clouds
141,Kachiry,KZ,53.0675,76.1036,42.22,65,19,6.64,few clouds
142,Derzhavinsk,KZ,51.1,66.3167,46.36,54,62,7.58,broken clouds
143,Poum,NC,-20.2333,164.0167,76.42,83,100,6.42,light rain
144,Batagay,RU,67.6333,134.6333,7.16,81,79,2.98,broken clouds
145,Bredasdorp,ZA,-34.5322,20.0403,47.61,72,11,4.0,few clouds
146,Aklavik,CA,68.2191,-135.0107,22.03,85,15,8.03,few clouds
147,Vardo,NO,70.3705,31.1107,34.0,80,99,34.52,light rain
148,Cherskiy,RU,68.75,161.3,-5.98,100,91,0.74,overcast clouds
149,Morant Bay,JM,17.8815,-76.4093,83.82,82,96,5.28,overcast clouds
150,Atambua,ID,-9.1061,124.8925,87.91,54,46,5.68,scattered clouds
151,Mazagao,BR,-0.115,-51.2894,84.25,96,79,4.0,broken clouds
152,Pilar,BR,-9.5972,-35.9567,73.33,92,91,2.82,overcast clouds
153,Mus,TR,39.0,41.75,37.44,82,99,1.77,overcast clouds
154,Birjand,IR,32.8663,59.2211,46.87,8,0,6.91,clear sky
155,Avarua,CK,-21.2078,-159.775,75.25,83,75,6.91,broken clouds
156,Hofn,IS,64.2539,-15.2082,37.89,90,100,25.37,moderate rain
157,San Isidro,PE,-12.1167,-77.05,63.01,84,40,10.36,scattered clouds
158,Ribeira Grande,PT,38.5167,-28.7,70.29,80,18,14.92,few clouds
159,Sobolevo,RU,54.4299,31.8996,42.62,81,98,11.45,overcast clouds
